name,type,lore
Time Rift,3,"\[Community Event Winner\] You only have limited time. But what if, you could experience that time again? And again, and again..."
Diamond Fusion Necklace,5,Unlike any other invention this necklace enhances your power and understanding of the elements tenfold. The colorful jewels used are almost dizzying you.
Starglass,3,
Silver Fiber Ring,5,"This crude looking ring utilizes electromagic to expose its wearer to earth's heartbeat. Though for now, it remains a whispering."
Summa,5,An auxiliary power core of the powerful TERA-4M Mining robot line. It controls the robots by giving the bearer a compulsion to break new grounds and progress further without heed.
Diamond Hydro Necklace,5,"You'll be wise like the sea, the merchant said and every word was true. With this necklace equipped, you could hear the ocean whisper."
Silver Solar Necklace,5,The device forged into this basic necklace seems to gather heat. You can feel a warm sting when holding it.
Moontower,3,"For the belief of the cosmos’ defilement, the moon was noted to remain unchanged. Those with this belief live only for the light of the moon, desperately seeking to maintain it through means that would only darken the soul of the most devout. Such from them comes the word lunacy."
Bottled Sky,3,
Snail Leggings,3,
Silver Static Ring,5,"Though it's hard to touch the plain, mechanical ring without experiencing a little shock, its capabilities intrigue you..."
Silver Solar Bracelet,5,The device forged into this simple bracelet seems to gather heat. You feel a bit lukewarm when wearing it...
Gold Static Ring,5,"The strong shock coming from this advanced version of the ring is a small price for its power, but it has yet to reach its peak."
Ignition,4,"\[Community Event Winner\] Forged with flaming scales shorn from Ozoth, the fabled Golden Ninja of the Canyon of the Lost hunted his prey relentlessly using this lightweight, yet harder than steel, polearm."
Impeccable Light Spruce Relik,4,
Eradian Cuissards,3,"Abandoned by the dwarven Ramriders in their heyday, this hefty armor forged to protect a steed sees little use but littering the steppes of the upper heights. A memento of a slaughter, in days long past."
Yellow Rose,4,
Arc Bracer,5,
Diamond Steam Bracelet,5,"This steam-powered bracelet is sought by many challengers of the Legendary Challenge. They say that they feel as if they're ""one with the wind"" when wearing it."
Halation,4,
Desperado,4,
Silver Steam Ring,5,This prototype model of the Steam Ring increases the user's agility in combat. The jewel of the ring is crystal clear.
Gold Steam Ring,5,"While this model of the Steam Ring is far superior to its predecessor, there still lies the capacity for one more upgrade. The jewel of the ring is crystal clear."
Gold Hydro Necklace,5,"You'll be wise like the sea, the merchant said. Indeed, you begin to notice how your senses sharpen. But is that the limit...?"
Vapor Fang,4,
Leictreach Makani,3,
Gold Hydro Bracelet,5,"You'll fight strong like the tide, the merchant said. Indeed, you begin to notice how your senses sharpen. But is that the limit...?"
Diamond Fiber Ring,5,"This masterpiece of a ring utilizes powerful electromagic to expose its wearer to earth's heartbeat. Wearing it, you can feel a deep connection to the ground below."
Nona,4,
Silver Static Necklace,5,"Though it's hard to touch the plain, tech-enhanced necklace without experiencing a little shock, its capabilities intrigue you..."
Silver Fiber Bracelet,5,"This rough looking bracelet utilizes electromagic to expose its wearer to earth's heartbeat. Though for now, it remains a whispering."
Clear Diamond Leggings,3,
Mixed Mineral Deposit,1,
Luu Luu Vertebrae,1,
Mural Shard,1,
Silver Bullet,1,
Void Essence,1,
Gravitation Crystal,1,
Mixed Jewel Deposit,1,
Demonic Ashes,1,
Pride of the Heights,1,
Linear Accelerator,1,
Sky Snail Shell,1,
Manis Carapace,1,
Shiny Mineral Deposit,1,
Remedial Paste,1,
Ignis,4,"This bow, used by the dwarves to land the final blow in the slaughter of Garaheth, is extremely powerful. Special fire resistant gloves must be worn at all times to prevent burns to the user."
Voidstone Lersing,4,
Gold Fusion Bracelet,5,"This bracelet, decorated with complex ornaments, uses built-in micro-devices to boost its users elemental abilites. Though powerful, there's still a lot to improve."
Diamond Fusion Ring,5,"This mighty ring is the crown jewel amongst elemental rings. Wearing it, your knowledge is no longer limited to a few elements."
Silver Fusion Ring,5,"This ring, covered in colorful artifical gems, seems to awaken a strong elemental affinity in you. With some improvements to its core, it could become even better..."
Nullification,4,"The diminutive stature of this item belies its abilities. Absorbing and expelling magical energy in precise bursts, it protects the user from all manner of attacks while punishing those who dare strike."
Silver Fusion Bracelet,5,"This bracelet, decorated with simple ornaments, uses built-in micro-devices to boost its users elemental abilites. There are many upgrades to be made before it reaches its full potential."
Voidstone Arpes,4,
Voidstone Esbald,4,
Scrap Amalgam,5,
Gold Fusion Ring,5,"This ring, covered in colorful artifical gems, seems to awaken a powerful elemental force in you. Though stronger than the previous model, its true potential stays sealed."
Dwindled Knowledge,3,
Awakening,4,
Hadal,4,"Carved from unknown parts of a sea creature unseen, the goliath scales of this effigy of the deep bring forth...a pull. A weight, a pressure. A terrible, crushing depth brought onto the holder, blanketing them like nostalgia. Their owner watches, part of itself acutely aware of its missing pieces."
Moon Pool Circlet,5,
Flashfire Gauntlet,5,
Icejewel,4,
Disintegrator,4,
Clear Diamond Boots,3,
Undefined,3,
Aurora,5,
Lightning Edge,4,
Ciel,4,
Skyfloat,3,
Greatbird Eyrie,3,"Sculpted by searing flames and dazzling light, in the years since the Fracturing the Greatbirds' nest has developed a blinding glow. It has both immense power and volatility, yet seems to hold a hidden strength for one who can tame its spirit."
Phoenix Wing,4,The magically rejuvenating properties of phoenix ash were imbued into this grand stave in its creator's bid to gain immortality.
Slayer,3,"Many artifacts are found to incite rage in the wearer, and wizards old and new alike conjecture as to the purpose of them. Very few increase the latent abilities of the wearers to ensure havoc, and none to such a degree as these boots."
Shard of Sky,4,
Relfect,4,
Contrail,5,
Sagittarius,3,"The hide of the centaur is extraordinarily magical in the right hands. It is told to allow the user to gain the swiftness of the horse, but also leaves them vulnerable to hard hitting attacks."
Trench Scourer,3,
Noise Stream,4,
Flummox,3,
Brocach,3,
Amorphous,3,
Evapar,5,
Conference Call,4,
Virtuoso,3,
Clerical,3,
Kernel,5,
Fragment,4,
Cloudwalkers,3,
Rodoroc's Guard,3,
Snail Boots,3,
Tsunasweep,4,
Windshear,3,
Ashes,5,
Alkatraz,4,"Soul-locking magic is one outlawed by Gavellian governments, only used by the most insidious and cruel of mages. One such enchantment looms dormant in this mundane-looking maul. Continued usage of the weapon threatens to release it upon the wielder, permanently binding them to the weapon."
Wind Mimic,3,
Spiritdancer,3,
Cumulonimbus,3,
Prosencephalon,3,
Atlas,5,
Flashfire Knuckle,5,
Nighthawk,3,
Petrified Horror,4,
Deathsplinter,4,
Cadence,3,
Efteling,3,
Black Abyss,4,
Bloodborne,5,
Amber-Encased Fleris,1,
Kaian Scroll,1,
Infernal Flesh,1,
Ashstained Basalt,1,
Charging Flame,4,
Shimmersight,3,
Conduit of Spirit,3,
Clear Diamond Helmet,3,
Flameshot Hilt,4,"Found abandoned in the ruins of the Doguns, these odd weapons are designed to shoot jets of sheer flame instead of hitting enemies traditionally. They are in terrible disrepair, and none know how to fix them."
Nychthemeron,3,
Crescent,4,
Nauticals,4,
Rainstorm,4,
Fishscale,3,
Freedom,4,"Freedom of soul, mind, and body are forced upon all those that this bow's arrows impact, and freedom of caring from the atrocities that such a dangerous weapon can inflict is given to all those that hold it."
Whimsy,4,
Valence,5,
Feedback,4,
Thrunda Ripsaw,4,"Combined power of inscribed Uth runes and consuming fury combine to create a deadly aura, as this weapon is merely a spiritual extension of the user's desire for utter cataclysm."
Impeccable Diorite Spear,4,
Foreboding,5,
Impeccable Diorite Dagger,4,
Dark Channeler,3,
Silt of the Seafloor,3,
Zephra Shredder,4,"Combined power of inscribed Uth runes and sheer rage intertwine to create a fearsome sight, as this weapon is merely a spiritual extension of the user's desire for total destruction."
Boreal,3,"The last known crafts of Theorick before his fall in battle were pieces of armour crafted out of pure ice, all of which have melted save for these shimmering boots. The coldest gales and most suffocating heat nurture and repair the wearer instead of being stifling or deadly."
Esclavage,5,\[Community Event Winner\]
Magmarizer,4,
Ardiente,3,
Snail Helm,3,
H-209 Miniature Defibrillator,5,
Sine,3,
Impeccable Diorite Relik,4,
Omega,4,
Olympic,4,"When one has climbed the highest mountain, traversed the vastest plain, what is left to conquer? One challenges the human limit, and attempts to push beyond what any has accomplished before. Sculpted in honor of the first champion, this idol emboldens you to best your greatest opponent: yourself."
Ataraxy,5,
Synapse,5,
Sekaisin,4,
Diamond Dust,3,
Inferna Flamewreath,4,
Caesura,3,
Stratus,5,
Ramhoof,3,
Odin,4,
Resplendence,5,
Vacuum,3,
Calming Torc,5,
Cinders,5,
Impeccable Diorite Bow,4,
Pride,5,
Guardian,4,"A vow of protection hangs over this spear, now inhabited by the spirit of a legendary heroine. Even simply a glimpse of the burning blade will instill a feeling of protection and security, and that feeling will hold true if one is brave enough to wield it."
Gibyeong,4,
Purgatory,4,
The Crossing,3,
Doubt,4,
Coral Ring,5,
Nepta Floodbringer,4,"Combined power of inscribed Uth runes and immense wisdom meld to create a commanding aura, as this weapon is merely a spiritual extension of the user's desire for dominion over all."
Cataract,4,
Crater Print,3,
Gigabyte,5,
Nightvest,3,
Leo,3,"This thick skinned jacket, imbued with the courage of a thousand lion hearts, will grant the user massive protection from all who target them."
Peaceful Rest,4,
Impeccable Diorite Wand,4,
Riverflow,3,
Pain Cycle,3,"Every ounce of your suffering must be made worth it. Otherwise, what was the point of it all?"
Shellcarve,4,
Tinderbox,3,
Storm Surge,4,
Prized Feather,1,
Searing Heartwood,1,
Soulbound Cinders,1,
Serpent's Fang,1,
Roasted Tissue,1,
Fathomflooded Flesh,1,
Missile,4,
Alka Cometflinger,4,"Combined power of inscribed Uth runes and raw potential fuse to create an imposing presence, as this weapon is merely a spiritual extension of the user's desire for complete obliteration."
Packet,4,
Stricken Bolt,4,
Unravel,3,
Gaze from the Snowbank,3,
Mountaintop,3,
Tidal,5,
Daredevil,5,The mangled body found days too late apparently thought this necklace would let them traverse between geysers into the Upper Heights.
Ambiguity,5,
Luminiferous Aether,3,
Rune of Safe Passage,5,
Memento,3,"All those who wear these enchanted boots deposit a single fond memory into them. They are forgotten forever, but wearing them recalls every memory within vividly."
Bedruthan,4,"Stone shorn from mountains by the roiling sea gathered on the shores of Llevigar one day, washed onto the sand in the shape of a massive spear. It was taken as an omen, and the stones were forged into a true weapon."
Magnus,4,
Galleon,3,"Forged with the raw powers of both the earth and the sea, these boots were initially an attempt at creating a method of foot-travel over the seas. Despite the spectacular failure of that application, they remain a formidable and reliable set of armor."
Cloudy Diamond Chestplate,3,
Final Compulsion,4,
Affluence,5,
Seismosoul,3,
Heat Sink,3,
Apology,4,
Hellstrand,4,The Order of the Abyss crafted this bow in opposition to the House of Talor's holy relic. Holding it for too long will strain and warp the user's mind.
Yin,5,
Barbarian,3,
Tungsten,5,
Magma Flinger,4,
Dunesweeper,4,
Caterpillar,3,
Hell's Scream,4,
Megabyte,5,
Liquefied Sun,4,
Whitecap Crown,3,
Glissando,4,
Aries,3,"Two iron horns adorn this helmet to enhance the warriors of the Eradian, Dwarves who specifically rode Rams into battle at incredible speed."
Cosmium,5,
Sparks,5,
Ashen Helm,3,
Mercurial Chestplate,3,
Azurite,3,
Yang,5,
Discordant,5,
Equites,3,
Corruption Seal,3,
Weatherwalkers,3,
Hardcore,4,
Supernova,4,
Cue Stick,4,
Mouth of Fate,4,
Accelerator,3,
Narcissist,4,"The world revolves around you, after all. It's high time you spread the news!"
Compiler,4,
Belcon,4,
Behemoth,4,
Imperious,4,
Leaning Log,4,
Soul Signal,3,
Epipelagic Eye,1,
Withered Root,1,
Bioluminescent Blood,1,
Marrow Dust,1,
Myocardial Leg,1,
Sentient Shadow,1,
Broken Helmet,1,
Pegasus Feather,1,
Unmeltable Ice,1,
Stolen Seeds,1,
Flerisi Bark,1,
Mythical Hoof,1,
Frostbound Memory,1,
Glacial Anomaly,1,
Tempered Core,1,
Prismatic Pendulum,4,
Abiogenesis,3,"Life itself is not a flexible material to work with—building sentience is precisely like squeezing blood from a stone. It may be years of toil, but the strength of an entire race that looks to you as a creator cannot be overstated."
Closure,4,
Thundering Wind,4,
Cloud Nine,4,
Antipode,4,
Blightsaber,4,
Tailwind,3,
Discharge,3,
Beetle Aegis,3,
Wick,4,
Cloudy Diamond Leggings,3,
Diamond Blade,4,
Polyphemus,3,
Vacarme,3,
Impeccable Spruce Bow,4,
Lonesome,4,
Steamstone,3,
Keeper of Souls,3,
Pulse Starter,5,
Mesosphere,3,
Impeccable Spruce Dagger,4,
Bane of War,4,
Anti-Static,3,
Quartzite Helm,3,
Crimson,4,
Impeccable Spruce Spear,4,
Cardiac Arrest,3,"...As the heart fails, adrenaline pumps through the body in an attempt to provide energy and keep the victim alive, but medical action must be taken to ensure survival. -Excerpt from Aldorei Medical Tomes, Vol. 6"
Ornamental Plate,3,
Octahedron,4,
Brace of the Ninth,4,
H-215 Plasmatic Exograft,3,
Pulse Stopper,5,
Hellion,5,
Shatterglass,5,"\[Community Event Winner\] This small, rough-crafted pendant is the only known magic artifact of the Orcs. It incites destructive tendencies within the wearer."
Kaze,5,"\[Community Event Winner\] Gentle spirits of the wind attract themselves to the brilliant jewels slotted into this ring, bringing peace to its wearers and those around them."
Pyroclastic Flow,4,
Resurgence,3,"An antique passed from the Caritat wreckage into the hands of the outcast elves of Efilim. So to honor the memory of the selfless family as inspired their self-imposed exile, their strongest healing spells were imbued into it, and sent to those who needed them most."
Impeccable Spruce Wand,4,
Desperation,4,
Belligerence,3,
Hero,4,"Enigmatically, this weapon will only show itself to those who believe themselves to be worth nothing, or to be weak. While utilizing this weapon will greatly strengthen one's resolve, it will disappear when it is no longer needed, going to the next wielder."
Azure Halo,3,
Copper Knife,4,
Ceramic Shell Greaves,3,
Impeccable Spruce Relik,4,
Heartache,4,
Libra,3,"Before the invention of magical weight detectors, there was a giant pair of public scales in Cinfras. Instead of being thrown away, they were reforged to be a formidable piece of armour."
Ronin,3,
Value,5,
Acid Magma,1,
Obsidian Shards,1,
Angler's Light,1,
Repair Toolkit,1,
Deepborn Scavenger,1,
Hardened Mandible,1,
Byte,5,
Sawtooth,4,
Comrade,4,
Juneberry,4,
Return to Ether,4,"This enigmatic weapon can suddenly blink out of reality with no warning only to appear exactly where it was left later. Artificers have determined that almost the entire bow, by all known laws of nature and magic, should not exist."
Anti-Causality,3,
Pendant of Prosperity,5,
Centrifugal,4,
Low World Greaves,3,
Struggle,3,
Cloudy Diamond Boots,3,
Blind Thrust,3,
Steel Wool,3,
Crusade Sabatons,3,"One of the very few physically-powerful artifacts of the Villagers, these boots were used in the initial crusades against the Green-skins, to overpower the Orcs via raw physical might. Though effective, they have not seen use in a long time."
Follow the Wind,5,"A lost relic from the Wind Fortress, a mythical stronghold of the Sky Islands that fell into the Void long ago. A small mechanism within the bracelet points towards its place of origin."
Pass Band,5,
Tera,3,
Subtle Calamity,4,
Sigil of Existence,4,\[Community Event Winner\]
Deserter,4,
Terra's Mold,3,
Frenzied Mockery,3,
Runic Coin,5,
Asphyxia,3,A condition of severely deficient supply of oxygen to the body that arises from abnormal breathing; practitioners that abuse specific magic combos are often found incapacitated by said condition.
Pyromaniac,5,
Nuance,3,
Darkiron Aegis,3,
Sano's Care,3,
Corrupted Uth Sandals,3,
Warming Heart,3,
Horizon,3,
Scaldsteppers,3,
Earth Breaker,3,
Loaded Question,4,
Bronze Basic Bracelet,5,This bracelet is awarded to participants of the Legendary Challenge. Its modular design allows it to be upgraded in a number of different ways.
Impudent,5,
Wybel Tooth Dagger,4,
Jewelled Broach,5,
Bronze Basic Necklace,5,This necklace is awarded to participants of the Legendary Challenge. Its modular design allows it to be upgraded in a number of different ways.
Siege Ram,4,
Coiled Briar,5,
Wybel Horn Spear,4,
Scorpio,3,"The carapace of the common Maexi pet fire scarabs, while alone, only cause minor burns to the touch. However, when woven together, they produce a variety of cumulative effects."
Exhaustion,3,
Bronze Basic Ring,5,This ring is awarded to participants of the Legendary Challenge. Its modular design allows it to be upgraded in a number of different ways.
Darksteel Full Helm,3,
Mountain's Song,4,
Wybel Fluff Bow,4,
Golemlus Core,5,
Big Arm,4,
Eradian Full Helm,3,
Starburst,4,\[Community Event Winner\]
Phoenix Prince's Crown,3,The Phoenix Prince is a mythical figure spoken of in Avos legend. His crown cursed him in an endless cycle of death and rebirth.
Wybel Ivory Wand,4,
Lightningrod,4,
Relend's Refrain,5,
Breakbore,4,
Wybel Carved Relik,4,
Elder Oak Roots,3,
Ski Mask,3,
Garland,3,
Marsufosa Pelt,1,
Turtle Shell,1,
7-Yottabyte Storage Component,1,
Sunken Scales,1,
Warm Fleris,1,
Rotten Teeth,1,
Enhanced Potential Microchip,1,
Wybel Fluff,1,
Fiberglass Frame,1,
Incremental Mapping Module,1,
Igneous Thread,1,
Enhanced Behaviour Microchip,1,
Pirate Beard,1,
Overheated Processor,1,
Enhanced Physics Microchip,1,
Twisted Coral,1,
Perkish Potato,1,
Enhanced Dynamics Microchip,1,
Shorting Wire,1,
Enhanced Pathfinding Microchip,1,
Ashen Hide,1,
Optic Lens,1,
Enhanced Post-Processing Microchip,1,
Throbbing Avos Heart,1,
Molten Gem,2,
Avo Wood,2,
Molten Oil,2,
Sorghum String,2,
Molten Ingot,2,
Avo Paper,2,
Sorghum Grains,2,
Molten Meat,2,
Untimely Demise,3,“Death claims your soul...”
Quilted Carapace,3,"This patchwork of shells from the Corkian Astrochelys makes for quite the statement sweater; it keeps your neck warm and besides, your foes' fashion fancies feel frivolous, anyway."
Frigg's Vow,3,
Hammer of the Forge,4,
Squall's Breath,4,\[Community Event Winner\]
Impeccable Light Birch Bow,4,
Veekhat's Udders,3,
Judas,4,
Discoverer,3,Wealth and riches...but at what cost?
Whirling Gyre,3,
Infilak,4,
Electro Mage's Boots,3,
Veekhat's Horns,3,
Impeccable Light Birch Spear,4,
Facedown,3,
Alizarin,4,"This bloody palette knife was used to kill only two people before it was abandoned - a killer who broke into a great artist's home, and the artist who struck the blow."
Sacramentalia,5,
Vacancy,3,
Leggings of Desolation,3,
Impeccable Light Birch Relik,4,
Gnossis,3,
Black Arrow,4,
Nimbus,4,
Triple Point,4,
Impeccable Light Birch Dagger,4,
Greaves of the Veneer,3,"Forged from mystic, previously unknown metals revealed in the deepest dwarven mining site to date, these sleek, glowing greaves are believed to be utterly indestructible."
Valkyrie,4,
Djinni,4,
Rapids,3,
Emerald Pendant,5,
Spear of Sin,4,
The Master's Gi,3,
Moonbeam,3,
Lion's Pelt,3,
Veins,4,
Finesse,5,
Silversplint,5,
Epilogue,3,
Smack Jacket,3,
Manna,4,
Entanglement,3,
Vulcamail Leggings,3,
Wavedash,3,
Humbark Moccasins,3,
Cloudy Diamond Helmet,3,
Darkweaver,4,
Impeccable Light Birch Wand,4,
Nightlife,4,
Subur Clip,5,
Charcoal Lump,1,
Panda King's Crown,1,
Serpent Tongue,1,
Melted Steel,1,
Fighting Stick,1,
Fluffy Fur,1,
Chunky Ash,1,
Synthesizer,4,
Aeolipile,4,
Pressure Blaster,4,
Blushwind,3,
Slumber,4,
Powder Snow,3,
Crown of Suzaku,3,
Third Eye,3,The Bantisu monks have developed this enigmatic sigil in their years of meditation and study. It blesses the wearer with luck and powerful psionic ability.
Charm of the Tides,5,
Tracer,4,
Sculptor,4,
Tisaun's Honour,5,
Metal Body Suit,3,
Orient,4,
Inundatio,5,
Statue,3,
The Airway,4,
Tisaun's Proof,4,The wear upon this broken old battle spear does not affect its ability in battle. The souls of a thousand fallen warriors resound within it.
Plague,4,
Grip of the Land,3,
Golden Scarab,3,
September,3,
Infidel,4,
Voidlight,4,
Bardiche,4,
Dreamcloud,3,
Pro Tempore,3,
Heavenly Wisp,4,
Sparkling Tones,4,
Herald of Ruin,4,
Charm of the Tempest,5,
Pyroclast,4,
Nephilim,3,
Dust Devil,5,
Cardinal Ruler,4,
Salpinx,4,
Guacamole,4,
The Modulator,3,
White-Hot Leggings,3,
Ambertoise Shell,3,
Equinox,5,
Dizzy Spell,3,
Quicksilver,5,
Corkian War Pick,4,
Smoky Diamond Chestplate,3,
Sempiternal,3,
Charm of the Storms,5,
Overdrive,4,"Holding this relik sends sparks through your veins, making your heart beat fast. And faster. And faster and faster and--"
Platinum,5,
Diamond Cuff,5,
Echoes of the Lost,3,
Adrenaline,3,
Tachyon,3,
Krolton's Cruelty,5,
Stormdrain,4,
Charm of the Magma,5,
Nightstar,4,
Fiery Aura,1,
Terra Steel,1,
Colossus' Shard,1,
Rocky Mind,1,
Autonomous Core,1,
Sliver,5,
Grillface,3,"\[Community Event Winner\] The old facemasks of the Eradian guards were forged from raw magma, and enchanted to remain searingly hot, so as to brand the wearer eternally with the mark of Rodoroc's elite."
Siliquartz Blend,3,
Wooly Long Johns,3,
Condensation,3,
Myelin,3,
Latency,3,
Lost Soul,4,
Marble Forest,4,
Poison Touch,4,
Overload Core,5,
Skyline Cries,4,
Sowilo,5,
Genetor,4,
Thrice,4,
Tundra Strike,4,
The Ephemeral,3,
Gale's Freedom,3,
Dune Storm,3,
Delirium,3,
Speaker,3,
Tisaun's Valor,3,"Tisaun, a warrior tasked to fend off a corrupted siege alone, could find only a thin shirt and rusted spear to use before the attack. He defeated all 1000 enemies without taking a scratch, and his bravery infused his gear with that same strength."
Ligfamblawende,4,
Lunar Spine,4,"From the Nether Gate, a shard of cosmic stone was ejected. Its purity was defiled, and the first man to wield it went mad, raving about the fall of the cosmos' beauty."
Dust Skaters,3,
Raging Wind,5,
Blossom Haze,4,"And as the spring bursts, the blossom petals flutter in the wind amongst the ashes of your enemies."
Solar Sword,4,
Demon Tide,3,
Corkuff,5,
Amanuensis,5,
Yamato Spear,4,
Smoky Diamond Leggings,3,
Umbral Mail,3,
Synchro Core,5,
Doodad,5,
Arbalest,4,
Flashing Boots,3,
Alkali,5,
Saundersi Signet,5,
Morph-Amethyst,5,
Windwhistle,4,
Splintered Dawn,3,
Bloodlust,3,
Eliminere,4,
Hardened Magma,1,
Antler Fragment,1,
Mountain's Heart,1,
Crystalline Growth,1,
Splintered Greathammer,1,
Lost Spirit,1,
Hybrid Skin,1,
Charred Carapace,1,
Cessation,3,Nothing more.
Zero,4,"The unstable power within this bow is capable of great destruction, but seems to zero out at the most crucial moments in battle. Only the most skillful archers can wield this weapon with confidence."
Steamjet Walkers,3,"A rogue inventor stole the plans for a steam jet booster from Corkus and reverse engineered them onto a set of boots. While effective, they are dangerous, prone to catastrophic failure."
Corrupted Uth Belt,3,
Bladeguard,4,
Lachesism,5,
Mountain Spirit,4,
Mech Core,5,
Clock Amulet,5,
Achilles,3,
Spark of Courage,4,
Flintlock,4,
The Courier's Cape,3,
Corkian Jet Boots,3,
Argos,3,
Physalis,3,
Deepwood Root,4,
Wristviewer,5,
Brass Brand,4,"Built by Cerid to accrue raw static charge from the surroundings and direct it at opponents, the blade's chief failing is that the wielder is not rendered immune to their own discharge as intended."
Impeccable Andesite Bow,4,
Tashkil,4,
Storm Brewer,3,
Equalizer,3,
Marsh Waders,3,
Vortex Bracer,5,
Vulcan,3,
Smoky Diamond Boots,3,
Firestarter,4,
Surefooter,3,
Hysteria,3,
Vesuvius,4,
Aerosol,4,
Outrage,3,"\[Community Event Winner\] This battered stone mask is of unknown origin, and has no openings for the eyes whatsoever. Indeed, all that can be seen while wearing it is that which makes you truly angry."
Careless Whisper,4,
Watch Bracelet,5,
Shortout,4,
Bantisu's Approach,3,
Thermals,4,
Ouroboros,3,
Pilot Light,3,
Coolant,5,
Power Cell,5,
Deja Vu,4,
Carbon Weave,3,
Gear Grinder,4,
Thunderlock,4,
Impeccable Andesite Dagger,4,
Impeccable Andesite Relik,4,
Cracklers,3,
Impeccable Andesite Wand,4,
Fireball,5,
Turbine Greaves,3,
Faustian Contract,4,"Once a contract is formed, and before its details are discussed, a seal is placed on the human's body."
Impeccable Andesite Spear,4,
About-Face,3,
Ornithopter,3,
Wanderer's Purpose,4,"To look and say “I will go there,” and to keep going until you find it... that’s what’s important."
Ivory Tusk,1,
Golden Avia Feather,1,
Elephelk Trunk,1,
Sliver of Sunrise,1,
Razor-Sharp Tooth,1,
Watery Aura,1,
Skysquawk,4,
Proxima,4,This spear is bright enough that it can cause blindness if you look directly at it. Its immense power is limited by its weight; the weapon is nearly impossible to lift.
Chain Rule,3,
Procrastination,4,...I'll finish writing this later.
Bizzles,4,
Mistral,3,
Canyon Spirit,4,
Gnir,5,
Sleet,4,
Found Footage,5,"Despite heavy damage, this memory core recovered from a fallen Despermech remains usable. Sifting through its contents paints a clear yet brutal picture of the destruction the rogue creations have caused."
Kayde,5,
Gloomstone,5,
Filter Mask,3,
Bolter,4,
Coat of Byakko,3,
Brimstone,4,
Flashstep,3,
Albedo,3,\[Community Event Winner\]
Runebound Chains,3,You know better than anyone else that there’s always a sliver of truth behind the tallest of tales. 
Charybdis,3,
Sreggad,4,
Signal Flare,3,
Derecho,5,
Shattered Horizon,4,
Wishing Star,4,
Stad Aer,3,
Drain,5,
Nerium Great Spear,4,
Touroto Trousers,3,
Dasher,5,
Meteoric Aegis,3,
Info Visor,3,
Hydrocharger,4,
Takeoff,3,
Bygones,4,
Cranial Panel,3,
Tophet,3,
Sans,4,
Volmor's Flair,5,
Dart Frog's Skin,3,
Breezehands,5,
Toy Maker,3,
Windmill,4,
Layton,4,
Smoky Diamond Helmet,3,
Silent Night,4,
Iris,4,
Evergreen,4,
Torrential Tide,4,"The tides of the ocean, once bound, became useful magic power sources. They were once utilized for weapons, but to harness the unstable force of the raging sea was considered too dangerous."
Apotheosis,4,
Sheet Ice,4,
Parasitic Chitin,1,
Protective Fabric,1,
Thorned Tusk,1,
Fancy Pelt,1,
Defective Circuits,1,
Elephant Toenail,1,
Magmatic Skin,1,
Robot Antenna,1,
Sharp Claw,1,
Piquant Pork Fillet,1,
Burning Soul,1,
Magical Fire,1,
Piercing Talons,1,
Old Explosives,1,
Tentacle,1,
Tender Pork Fillet,1,
Succulent Crab Meat,1,
Microchip,5,
Pale Sun,5,
Hinterlands,5,
Pine Bow,4,
Bifrost,3,
Pride of the Aerie,3,
Dodge Core,5,
Lichenwal,3,
Dim Diamond Chestplate,3,
Skywatcher,3,
Seagazer,3,
Wood Hammer,4,
Esper's Focus,4,
Deliverance,4,
Glitchtean,4,
Canyon Strider,3,
Harden Core,5,
Solitude,4,
Worship,5,
Essence Bastion,4,
Prognosticum,5,
Impeccable Birch Bow,4,
Rikter,4,"Named for an ancient Wynnic word for ""Earthquake"", this mighty battle hammer causes the very bones of struck enemies to rattle and heave as though the earth itself was splitting under their feet."
Impeccable Birch Relik,4,
Molten Flow,3,
Ossuary,3,
Ensa's Ideals,3,
Conflagrate,3,Donning this helmet sears your mind with images of a world on fire. These blistering thoughts pressure you to make that world a reality.
Impeccable Birch Spear,4,
Impeccable Birch Wand,4,
Iron Grippers,4,
Niflheim,4,
Oktavist,4,
Shockwave,3,
Schist,5,
Countdown,4,
Nether's Deep,4,
Granitic Mettle,3,
Cinnamon,4,
Harmony,3,
Impeccable Birch Dagger,4,
Mystical Lance,4,
Iosis,3,The last step towards purity. Dissolve and coagulate. Be anew.
Payment Day,4,
Valse Vaincue,3,The Wanderer; the Betrayer; the Lunatic.
Booster Plate,3,"A marvel of Corkus' electromagical advancements, this high-tech chestplate is equipped with steam jets to boost the user's speed, at a minimal cost to protection."
Ring of Fire,5,
Hustle Core,5,
Cyclops Eye,1,
Tough Skin,1,
Illusory Idol,1,
Zealous Illuminator,1,
Insulated Wiring,1,
Earthly Aura,1,
Harpy Wing,1,
Flameheart,1,
Unsheathed Glaive,4,
Aersectra,4,\[Community Event Winner\]
Rock Chisel,4,
Enduzskam,3,
Rot of Dernel,4,
Squid Anklet,5,
Fulmine Belt,3,
Nezha,5,
Sequencer,3,
Black Catalyst,5,"Even simply looking at these odd rings gives way to a compulsion to wear two of them, despite all better judgement."
Reason,4,
Matchbook,5,
Windy Torc,5,
Archaic,5,
Ogre Faceplate,3,
Shining Stave,4,
Grateful Dead,4,
Revolutionine,4,
Deathbringer,4,
Aviform,4,
Silent Ballet,4,
Insulated Plate Mail,3,
Thanos Legionnaire Plate,3,
Fluffwind,4,
Second Wind,3,
Sunshower,3,
Veantur,4,
Maji,4,
Galvanization,3,
Island Chain,4,
